득점,경기,승,패,무,승률,시즌,실점,이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,"('시작', '끝')","('전체', '종 합')","('전체', '리 드')","('전체', '동 점')","('전체', '열 세')","('리드', '종 합')","('리드', '리 드')","('리드', '동 점')","('리드', '열 세')","('동점', '종 합')","('동점', '리 드')","('동점', '동 점')","('동점', '열 세')","('열세', '종 합')","('열세', '리 드')","('열세', '동 점')","('열세', '열 세')","('시즌', '')"
11.0,2.0,2.0,0.0,0.0,1.0,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,3.0,3.0,0.0,0.0,1.0,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.0,12.0,0.0,0.0,1.0,2012.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.0,16.0,3.0,0.0,0.842,2012.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.0,16.0,5.0,1.0,0.762,2012.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.0,9.0,12.0,1.0,0.429,2012.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.0,4.0,6.0,1.0,0.4,2012.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.0,3.0,7.0,0.0,0.3,2012.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.0,1.0,8.0,0.0,0.111,2012.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.0,3.0,8.0,0.0,0.273,2012.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.0,2.0,5.0,0.0,0.286,2012.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,0.0,3.0,0.0,0.0,2012.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,1.0,0.0,0.0,2012.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,2.0,1.0,0.0,0.667,2012.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,1.0,0.0,0.0,2012.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,1.0,0.0,0.0,2012.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,1.0,0.0,0.0,2012.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,1.0,99.0,34.0,20.0,10.0,1.0,2.0,1.0,8.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,2.0,110.0,23.0,13.0,4.0,4.0,2.0,0.0,4.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,3.0,93.0,40.0,22.0,9.0,6.0,1.0,2.0,6.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,4.0,103.0,30.0,20.0,6.0,3.0,1.0,0.0,4.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,5.0,93.0,40.0,20.0,9.0,6.0,1.0,4.0,8.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,6.0,99.0,33.0,19.0,7.0,6.0,0.0,1.0,6.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,7.0,101.0,31.0,17.0,3.0,9.0,2.0,0.0,4.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,8.0,97.0,35.0,23.0,9.0,1.0,1.0,1.0,5.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,9.0,77.0,29.0,19.0,8.0,2.0,0.0,0.0,3.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,10.0,8.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,11.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,12.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,0.83,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,1.0,95.0,38.0,20.0,11.0,3.0,2.0,2.0,5.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,2.0,99.0,34.0,22.0,6.0,1.0,3.0,2.0,5.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,3.0,104.0,29.0,15.0,8.0,4.0,2.0,0.0,4.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,4.0,97.0,36.0,23.0,9.0,3.0,0.0,1.0,5.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,5.0,102.0,31.0,16.0,7.0,0.0,7.0,1.0,6.0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,6.0,98.0,34.0,18.0,5.0,7.0,3.0,1.0,5.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,7.0,100.0,32.0,17.0,5.0,5.0,3.0,2.0,9.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,8.0,102.0,30.0,18.0,5.0,6.0,1.0,0.0,4.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,9.0,91.0,17.0,7.0,7.0,3.0,0.0,0.0,3.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,11.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,12.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,,,,,,,,,,,1.0,,,68-62-3 (0.523),0.523,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,,,,,,,,,,,2.0,17-5-1 (0.773),0.773,42-37-2 (0.532),0.532,9-20-0 (0.310),0.31,,,,,,,,,,,,,,,,,,
