,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,타자,투구,P/PA,스트라이크 비율,스트라이크 비율,스트라이크 비율,스트라이크 비율,투구 비율%,투구 비율%,배트 적극성%,배트 적극성%,헛스윙%,SwStr%,2S후커트%,2S후선구%,삼진 상세,삼진 상세,삼진 상세,배팅 찬스,배팅 찬스,배팅 찬스,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,P/PA,출장,이닝,타자,투구,P/PA,루킹,헛스윙,파울,타격,S,B,전체,초구,헛스윙%,SwStr%,2S후커트%,2S후선구%,스윙,루킹,LSO%,N,스윙,W%,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
8,9,리그,21,3.94,6754,12656.2,56059,220905,3.94,28.3,15.3,27.7,28.7,61.8,38.2,44.3,26.6,21.3,11.5,74.7,35.0,7885,2306,22.6,67580,5500,8.1,,,,,,,,,
9,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록,팀 기록
10,순,이름,팀,정렬,출장,이닝,타자,투구,P/PA,스트라이크 비율,스트라이크 비율,스트라이크 비율,스트라이크 비율,투구 비율%,투구 비율%,배트 적극성%,배트 적극성%,헛스윙%,SwStr%,2S후커트%,2S후선구%,삼진 상세,삼진 상세,삼진 상세,배팅 찬스,배팅 찬스,배팅 찬스,,,,,,,,,
11,순,이름,팀,P/PA,출장,이닝,타자,투구,P/PA,루킹,헛스윙,파울,타격,S,B,전체,초구,헛스윙%,SwStr%,2S후커트%,2S후선구%,스윙,루킹,LSO%,N,스윙,W%,,,,,,,,,
12,1,키움,19,3.72,611,1279.0,5427,20160,3.72,28.1,14.5,26.6,30.8,64.6,35.4,46.4,28.4,20.1,11.7,73.1,34.4,758,226,23.0,5656,451,8.0,,,,,,,,,
13,2,KT,19,3.73,567,1276.0,5529,20643,3.73,27.6,13.7,27.5,31.2,64.2,35.8,46.5,30.0,18.9,11.0,77.7,34.5,661,186,22.0,5552,474,8.5,,,,,,,,,
14,3,넥센,17,3.75,554,1271.0,5663,21258,3.75,26.9,14.7,28.4,30.1,65.3,34.7,47.8,30.9,20.1,12.0,75.5,32.8,779,226,22.5,5673,480,8.5,,,,,,,,,
15,4,KT,22,3.77,588,1287.1,5405,20356,3.77,26.4,15.9,28.9,28.8,66.6,33.4,49.1,31.6,21.6,13.1,74.4,32.7,833,241,22.4,4856,362,7.5,,,,,,,,,
16,5,LG,19,3.77,599,1281.1,5548,20939,3.77,28.1,14.3,27.4,30.2,63.3,36.7,45.5,29.2,19.9,11.2,74.7,34.7,700,252,26.5,5563,454,8.2,,,,,,,,,
17,,kt,17,3.77,588,1256.0,5702,21518,3.77,26.1,13.7,29.1,31.1,63.7,36.4,47.0,30.2,18.5,10.8,77.3,33.6,678,235,25.7,5736,544,9.5,,,,,,,,,
18,7,KT,20,3.79,665,1290.1,5680,21496,3.79,26.3,13.9,28.4,31.5,62.9,37.1,46.3,30.4,18.8,10.9,78.5,34.1,664,184,21.7,6082,503,8.3,,,,,,,,,
19,8,넥센,18,3.79,591,1282.0,5646,21381,3.79,25.7,15.9,28.3,30.2,63.7,36.3,47.3,31.5,21.4,12.5,74.2,34.4,782,239,23.4,5894,527,8.9,,,,,,,,,
20,9,두산,19,3.80,621,1283.2,5434,20630,3.80,28.6,13.1,26.8,31.5,63.4,36.6,45.3,27.9,18.4,10.4,77.3,35.2,647,213,24.8,6291,493,7.8,,,,,,,,,
