,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,ERA,FIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,PFR,BABIP,LOB%,상대 타자,상대 타자,상대 타자,상대 타자,WHIP,WHIP+,투구,IP/G,P/G,P/IP,P/PA,CYP,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,FIP,출장,이닝,ERA,FIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,PFR,BABIP,LOB%,타율,출루율,장타율,OPS,WHIP,WHIP+,투구,IP/G,P/G,P/IP,P/PA,CYP,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
88,77,KT,18,5.31,631,1274.1,5.37,5.31,7.24,2.89,2.51,1.37,17.8,7.1,10.7,1.13,.349,68.8,.307,.365,.482,.846,1.56,1.63,21948,2.0,34.8,17.2,3.82,38.7,,,,,,
89,78,kt,17,5.32,588,1256.0,5.78,5.32,6.54,3.10,2.11,1.25,16.0,7.6,8.4,1.07,.336,65.0,.301,.364,.471,.836,1.56,1.63,21518,2.1,36.6,17.1,3.77,-36.7,,,,,,
90,79,롯데,14,5.33,528,1100.0,5.28,5.33,6.19,3.73,1.66,1.03,15.3,9.2,6.1,1.10,.329,67.0,.294,.365,.450,.816,1.57,1.62,19222,2.1,36.4,17.5,3.89,37.6,,,,,,
91,80,롯데,16,5.36,668,1266.1,5.63,5.36,7.17,4.16,1.73,1.14,17.4,10.1,7.3,1.26,.340,66.8,.297,.375,.461,.836,1.64,1.70,22761,1.9,34.1,18.0,3.93,8.1,,,,,,
92,81,넥센,14,5.42,530,1131.2,5.31,5.42,7.17,4.10,1.75,1.13,17.6,10.1,7.5,1.25,.337,69.2,.293,.372,.449,.820,1.60,1.66,20729,2.1,39.1,18.3,4.06,65.9,,,,,,
93,82,한화,15,5.43,672,1279.2,5.11,5.43,6.47,4.56,1.42,1.10,15.9,11.2,4.7,1.23,.308,69.0,.275,.368,.424,.792,1.56,1.64,22823,1.9,34.0,17.8,3.96,72.8,,,,,,
94,83,한화,16,5.44,680,1292.2,5.76,5.44,6.80,4.41,1.54,1.08,16.4,10.7,5.8,1.25,.340,65.7,.299,.381,.441,.822,1.67,1.73,23157,1.9,34.1,17.9,3.90,-18.1,,,,,,
95,84,SK,20,5.48,686,1259.1,5.60,5.48,6.81,4.79,1.42,1.16,16.6,11.7,4.9,1.29,.309,66.9,.275,.369,.427,.796,1.60,1.67,22729,1.8,33.1,18.1,3.97,-7.0,,,,,,
96,85,삼성,17,5.50,613,1281.1,5.90,5.50,7.47,3.85,1.94,1.31,18.0,9.3,8.7,1.26,.343,66.6,.300,.377,.475,.852,1.63,1.72,23196,2.1,37.8,18.1,3.92,-38.0,,,,,,
97,86,NC,18,5.54,622,1264.0,5.50,5.54,7.19,3.82,1.88,1.32,17.7,9.4,8.3,1.22,.326,67.4,.289,.362,.458,.820,1.57,1.62,22506,2.0,36.2,17.8,3.95,18.0,,,,,,
98,87,SK,14,5.65,556,1129.1,5.57,5.65,6.67,4.16,1.60,1.22,16.4,10.2,6.2,1.20,.322,66.9,.287,.368,.455,.823,1.59,1.65,20141,2.0,36.2,17.8,3.94,10.4,,,,,,
99,88,삼성,16,5.69,647,1282.1,5.64,5.69,6.56,3.64,1.81,1.36,16.1,8.9,7.2,1.13,.328,67.5,.296,.368,.467,.835,1.58,1.65,22623,2.0,35.0,17.6,3.90,-4.3,,,,,,
100,89,한화,14,6.00,530,1129.0,6.38,6.00,5.96,4.28,1.39,1.29,14.1,10.1,4.0,1.14,.347,64.1,.318,.395,.503,.898,1.76,1.83,20364,2.1,38.4,18.0,3.83,-111.7,,,,,,
