,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,RE24 세부,RE24 세부,RE24,REW,WPA 세부,WPA 세부,WPA 세부,WPA 세부,WPA,pLI,WPA/LI,Clutch,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,WPA,출장,이닝,타격,주루,RE24,REW,타격,주루,Plus,Minus,WPA,pLI,WPA/LI,Clutch,Unnamed: 18_level_2,Unnamed: 19_level_2,Unnamed: 20_level_2,Unnamed: 21_level_2,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
41,30,삼성,14,-4.68,543,1144.0,21.32,-10.39,10.93,0.96,-2.79,-1.89,84.12,-88.80,-4.68,0.98,-5.46,0.66,,,,,,,,,,,,,,,,,,
42,31,두산,20,-4.68,656,1284.2,33.41,-17.59,15.82,1.47,-3.37,-1.33,89.59,-94.27,-4.68,0.93,-0.99,-4.08,,,,,,,,,,,,,,,,,,
43,32,SK,15,-4.73,621,1280.2,7.00,-21.97,-14.97,-1.37,-2.52,-2.21,91.78,-96.51,-4.73,0.96,-6.48,1.54,,,,,,,,,,,,,,,,,,
44,33,삼성,20,-4.92,698,1272.1,-37.65,-3.98,-41.64,-3.87,-3.94,-1.00,93.26,-98.19,-4.92,0.99,-8.14,3.14,,,,,,,,,,,,,,,,,,
45,34,KIA,17,-5.01,582,1290.0,-15.04,-14.89,-29.93,-2.72,-3.64,-1.36,92.56,-97.57,-5.01,0.93,-8.61,3.24,,,,,,,,,,,,,,,,,,
46,35,두산,18,-5.12,615,1288.2,-31.97,-15.05,-47.02,-4.15,-3.64,-1.48,95.56,-100.68,-5.12,0.97,-8.37,3.07,,,,,,,,,,,,,,,,,,
47,36,LG,17,-5.25,619,1279.0,47.24,-17.26,29.98,2.72,-3.63,-1.63,97.43,-102.68,-5.25,1.02,-3.46,-1.71,,,,,,,,,,,,,,,,,,
48,37,NC,21,-5.27,696,1256.2,16.19,-19.58,-3.39,-0.33,-3.72,-1.55,91.56,-96.83,-5.27,0.96,-5.72,0.25,,,,,,,,,,,,,,,,,,
49,38,넥센,14,-5.37,530,1131.2,-81.74,-11.16,-92.90,-8.14,-3.84,-1.54,80.01,-85.38,-5.37,0.91,-10.43,4.52,,,,,,,,,,,,,,,,,,
50,39,KIA,19,-5.39,603,1264.0,-18.57,-10.45,-29.03,-2.96,-4.43,-0.95,87.06,-92.45,-5.39,0.91,-6.42,0.53,,,,,,,,,,,,,,,,,,
