,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,견제아웃,무도,보크,포일,폭투,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,도루,출장,이닝,도루,도실,도루%,도루기회,도루시도%,2,3,4,2,3,4,2,3,4,견제아웃,무도,보크,포일,폭투,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
53,,KIA,18,98,575,1270.2,98,40,71.0,2094,6.6,91,6,1,34,2,4,72.8,75.0,20.0,5,0,3,11,65,,,,,,,,,,,
54,43,KT,21,96,613,1262.2,96,31,75.6,1937,6.6,83,12,1,29,2,0,74.1,85.7,100.0,7,2,1,7,56,,,,,,,,,,,
55,,롯데,20,96,689,1277.1,96,28,77.4,1957,6.3,91,4,1,28,0,0,76.5,100.0,100.0,3,0,4,7,62,,,,,,,,,,,
56,,KIA,21,96,676,1269.0,96,43,69.1,2147,6.5,85,9,2,36,3,4,70.3,75.0,33.3,6,0,8,10,58,,,,,,,,,,,
57,,두산,22,96,670,1279.1,96,34,73.9,2163,6.0,90,6,0,32,0,2,73.8,100.0,0.0,3,0,5,13,70,,,,,,,,,,,
58,47,키움,19,95,611,1279.0,95,46,67.4,1936,7.3,81,12,2,42,4,0,65.9,75.0,100.0,9,3,6,6,45,,,,,,,,,,,
59,,두산,20,95,656,1284.2,95,25,79.2,2059,5.8,87,7,1,24,1,0,78.4,87.5,100.0,9,0,4,6,52,,,,,,,,,,,
60,49,NC,14,94,580,1135.2,94,43,68.6,1836,7.5,88,4,0,36,3,3,71.0,57.1,0.0,6,0,5,9,50,,,,,,,,,,,
61,,두산,19,94,621,1283.2,94,32,74.6,1877,6.7,86,8,0,28,3,1,75.4,72.7,0.0,8,1,5,6,49,,,,,,,,,,,
62,51,KT,19,93,567,1276.0,93,43,68.4,2000,6.8,84,8,1,40,1,2,67.7,88.9,33.3,7,1,6,15,50,,,,,,,,,,,
63,52,삼성,19,92,627,1275.1,92,38,70.8,2080,6.3,84,7,1,33,3,2,71.8,70.0,33.3,3,0,5,9,49,,,,,,,,,,,
64,,롯데,16,92,668,1266.1,92,59,60.9,2273,6.6,83,8,1,54,5,0,60.6,61.5,100.0,11,0,5,14,82,,,,,,,,,,,
65,54,LG,20,91,653,1292.2,91,36,71.7,2039,6.2,82,9,0,28,7,1,74.6,56.3,0.0,6,0,4,9,49,,,,,,,,,,,
66,,롯데,19,91,664,1270.1,91,44,67.4,2220,6.1,87,4,0,38,5,1,69.6,44.4,0.0,5,1,4,11,103,,,,,,,,,,,
67,56,롯데,17,90,623,1287.1,90,45,66.7,2003,6.7,83,7,0,35,5,5,70.3,58.3,0.0,6,0,7,14,67,,,,,,,,,,,
68,57,키움,20,89,730,1280.1,89,39,69.5,2025,6.3,77,12,0,38,1,0,67.0,92.3,,8,0,7,8,51,,,,,,,,,,,
69,,키움,21,89,629,1261.1,89,35,71.8,2166,5.7,77,12,0,28,5,2,73.3,70.6,0.0,4,0,4,5,59,,,,,,,,,,,
70,59,키움,22,88,649,1296.1,88,41,68.2,2049,6.3,76,9,3,34,4,3,69.1,69.2,50.0,2,0,1,7,51,,,,,,,,,,,
71,,NC,18,88,622,1264.0,88,46,65.7,2153,6.2,81,7,0,41,4,1,66.4,63.6,0.0,6,0,6,19,92,,,,,,,,,,,
72,61,NC,15,86,635,1279.1,86,37,69.9,1911,6.4,77,9,0,34,1,2,69.4,90.0,0.0,3,0,3,5,60,,,,,,,,,,,
73,,NC,21,86,696,1256.2,86,40,68.3,2111,6.0,80,6,0,36,4,0,69.0,60.0,,2,0,8,5,75,,,,,,,,,,,
74,,삼성,15,86,577,1275.1,86,49,63.7,1837,7.4,72,13,1,45,3,1,61.5,81.3,50.0,9,2,2,8,44,,,,,,,,,,,
75,64,두산,16,85,579,1287.2,85,44,65.9,2064,6.3,77,8,0,36,4,4,68.1,66.7,0.0,7,1,4,4,66,,,,,,,,,,,
76,,두산,21,85,658,1269.1,85,48,63.9,2116,6.3,80,5,0,36,7,5,69.0,41.7,0.0,6,1,7,10,52,,,,,,,,,,,
77,,한화,18,85,685,1274.0,85,41,67.5,2063,6.1,78,6,1,38,1,2,67.2,85.7,33.3,10,0,7,11,78,,,,,,,,,,,
78,,LG,16,85,676,1287.2,85,49,63.4,2210,6.1,77,8,0,43,5,1,64.2,61.5,0.0,8,2,1,9,84,,,,,,,,,,,
79,68,KIA,20,84,639,1269.1,84,46,64.6,2183,6.0,79,4,1,37,5,4,68.1,44.4,20.0,5,0,4,10,78,,,,,,,,,,,
80,69,SK,17,83,608,1270.2,83,39,68.0,2147,5.7,76,7,0,31,6,2,71.0,53.9,0.0,7,1,7,8,61,,,,,,,,,,,
81,,한화,17,83,634,1273.0,83,42,66.4,2100,6.0,76,7,0,38,1,3,66.7,87.5,0.0,2,0,4,11,77,,,,,,,,,,,
82,71,롯데,14,81,528,1100.0,81,36,69.2,1846,6.3,76,5,0,32,2,1,70.4,71.4,0.0,16,0,1,11,52,,,,,,,,,,,
83,72,KT,20,77,665,1290.1,77,21,78.6,2119,4.6,71,5,1,20,0,1,78.0,100.0,50.0,3,0,1,10,75,,,,,,,,,,,
84,73,NC,16,74,628,1286.1,74,43,63.3,2078,5.6,65,7,2,33,9,1,66.3,43.8,66.7,1,0,7,3,84,,,,,,,,,,,
