,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,비율,비율,비율,비율,비율,WAR,WPA,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
38,27,롯데,20,19.76,689,1,0,144,71,72,25,59,1277.1,720,659,5583,1351,241,17,143,447,25,58,1002,4,62,4.64,4.57,1.41,104.9,105.0,19.76,-10.70,,,
39,28,한화,18,19.69,685,0,0,144,77,67,37,62,1274.0,761,701,5637,1394,246,13,164,472,9,89,1124,7,78,4.95,5.04,1.47,107.0,105.9,19.69,-5.47,,,
40,29,KIA,16,19.63,635,7,1,144,70,73,38,74,1276.0,785,708,5771,1456,230,23,131,561,18,59,965,7,69,4.99,5.03,1.58,103.7,103.8,19.63,-12.19,,,
41,30,삼성,21,19.56,676,2,1,144,76,59,46,80,1259.0,658,601,5536,1297,230,24,131,530,13,51,1038,3,58,4.30,4.39,1.45,105.1,103.0,19.56,1.15,,,
42,31,NC,20,19.50,736,0,0,144,83,55,31,88,1296.2,714,661,5690,1292,199,15,153,547,10,79,1049,7,65,4.59,4.90,1.42,106.5,98.9,19.50,-3.39,,,
43,32,두산,18,19.40,615,1,0,144,93,51,41,56,1288.2,756,716,5700,1401,266,16,154,476,17,109,1025,2,72,5.00,5.12,1.46,101.1,98.4,19.40,-5.12,,,
44,33,LG,17,19.16,619,4,1,144,69,72,32,66,1279.0,677,614,5507,1305,249,29,124,379,31,102,1040,3,81,4.32,4.43,1.32,112.1,109.1,19.16,-5.25,,,
45,34,키움,20,19.14,730,0,0,144,80,63,42,81,1280.1,692,625,5556,1336,208,15,126,447,16,72,950,7,51,4.39,4.53,1.39,107.4,102.5,19.14,-1.72,,,
46,35,KIA,17,19.12,582,5,2,144,87,56,33,46,1290.0,743,691,5748,1518,255,21,137,434,22,77,985,4,69,4.82,4.73,1.51,103.1,105.6,19.12,-5.01,,,
47,36,NC,22,18.72,681,0,0,144,67,74,25,54,1286.2,642,559,5604,1230,219,18,111,515,10,98,1168,5,80,3.91,4.05,1.36,104.2,101.4,18.72,3.85,,,
48,37,KT,20,18.65,665,0,0,144,81,62,33,71,1290.1,715,654,5680,1357,227,9,118,523,20,59,848,1,75,4.56,4.74,1.46,105.3,100.4,18.65,-5.59,,,
49,38,삼성,20,18.60,698,3,1,144,64,75,25,80,1272.1,745,676,5634,1330,222,16,151,542,16,67,931,5,56,4.78,5.03,1.47,102.6,97.0,18.60,-4.92,,,
