,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,PF조정,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,파크팩터 조정,kwERA,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,ERA+,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,ERA,FIP,RA,FIPRA,ERA+,FIP+,kwERA,Unnamed: 21_level_2,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
68,57,롯데,18,96.5,686,1283.2,5.41,5.10,5.93,5.53,-0.31,0.53,.330,65.9,5.38,5.07,5.91,5.50,96.5,102.6,4.12,,,,,,,,,,,,,,,
69,58,삼성,22,96.4,686,1287.0,4.33,4.35,4.86,4.87,0.02,0.53,.313,70.3,4.23,4.29,4.75,4.81,96.4,95.0,4.36,,,,,,,,,,,,,,,
70,59,KT,19,96.0,567,1276.0,4.31,4.51,4.66,4.98,0.20,0.35,.298,70.5,4.35,4.59,4.71,5.06,96.0,91.2,4.61,,,,,,,,,,,,,,,
71,60,한화,17,95.0,634,1273.0,5.30,5.25,5.80,5.70,-0.05,0.50,.327,67.1,5.25,5.17,5.75,5.61,95.0,96.4,4.41,,,,,,,,,,,,,,,
72,61,LG,18,94.8,601,1268.2,5.32,5.05,5.79,5.47,-0.28,0.47,.329,66.2,5.48,5.24,5.96,5.68,94.8,99.2,4.12,,,,,,,,,,,,,,,
73,62,KIA,18,94.6,575,1270.2,5.43,5.23,5.85,5.68,-0.19,0.43,.337,67.7,5.49,5.27,5.92,5.71,94.6,98.6,4.20,,,,,,,,,,,,,,,
74,63,NC,18,94.3,622,1264.0,5.50,5.54,6.01,6.01,0.04,0.51,.326,67.4,5.51,5.48,6.02,5.94,94.3,94.9,4.40,,,,,,,,,,,,,,,
75,64,한화,21,93.7,717,1258.2,4.68,4.70,5.28,5.18,0.03,0.61,.293,68.3,4.75,4.70,5.37,5.17,93.7,94.8,4.68,,,,,,,,,,,,,,,
76,65,삼성,19,93.5,627,1275.1,4.64,4.60,5.16,5.08,-0.04,0.52,.305,68.2,4.47,4.51,4.97,4.98,93.5,92.7,4.55,,,,,,,,,,,,,,,
77,66,KIA,20,93.4,639,1269.1,5.14,4.62,5.64,5.06,-0.52,0.50,.334,66.3,5.11,4.59,5.61,5.03,93.4,104.0,4.39,,,,,,,,,,,,,,,
