,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,평속,출장,이닝,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,직구,출장,이닝,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
47,36,KIA,17,142.5,582,1290.0,142.5,130.9,118.9,127.0,131.5,137.2,,74.3,54.7,19.3,8.6,11.5,3.9,1.6,0.0,0.3,68.9,29.7,47.1,87.2,69.8,81.1,44.5,,,,,,,
48,37,키움,20,142.5,730,1280.1,142.5,131.3,122.0,128.7,129.4,140.5,,,37.8,17.6,10.9,10.6,4.8,18.3,0.0,0.0,67.0,29.7,46.5,88.7,65.7,80.6,45.0,,,,,,,
49,38,LG,16,142.4,676,1287.2,142.4,130.7,117.0,126.3,130.6,140.9,,87.6,46.4,20.1,11.4,8.8,4.8,7.9,0.0,0.5,65.8,24.1,44.6,88.0,62.0,80.9,49.2,,,,,,,
50,39,KIA,19,142.4,603,1264.0,142.4,131.2,120.1,127.8,135.0,142.0,,,46.7,19.8,8.3,8.6,2.6,14.0,0.0,0.0,68.4,28.9,46.3,87.9,67.4,80.7,44.1,,,,,,,
51,40,NC,18,142.3,622,1264.0,142.3,132.0,120.1,127.5,131.9,139.1,,141.0,46.3,19.7,6.9,14.2,6.6,6.2,0.0,0.0,69.2,29.7,46.6,85.7,64.9,78.1,42.7,,,,,,,
52,41,KIA,21,142.2,676,1269.0,142.2,131.7,118.0,127.4,133.9,140.0,,,47.4,20.5,7.7,13.7,2.7,8.0,0.0,0.0,64.4,29.0,43.9,87.8,68.5,80.4,42.1,,,,,,,
53,42,넥센,18,142.2,591,1282.0,142.2,130.9,120.3,128.1,130.0,140.4,,133.0,38.8,22.7,8.7,8.7,5.5,15.7,0.0,0.0,69.1,30.0,47.3,87.0,63.8,78.8,44.1,,,,,,,
54,43,KT,20,142.2,665,1290.1,142.2,131.8,123.1,128.3,129.7,142.6,,,39.1,22.6,5.9,13.7,4.9,13.8,0.0,0.0,67.7,29.5,46.3,88.7,67.8,81.2,43.9,,,,,,,
55,44,롯데,16,142.2,668,1266.1,142.2,131.3,117.5,130.8,129.4,139.6,,55.2,48.7,24.0,7.8,5.2,9.9,4.0,0.0,0.5,65.7,25.2,44.8,87.6,59.6,79.4,48.3,,,,,,,
56,45,넥센,15,142.1,587,1286.0,142.1,129.7,117.0,127.3,127.2,128.9,,112.3,54.9,22.4,8.1,5.0,7.2,0.5,0.0,1.8,65.0,24.8,45.4,86.5,58.7,79.1,51.4,,,,,,,
57,46,KIA,20,142.1,639,1269.1,142.1,132.2,121.6,129.1,131.2,141.3,,121.0,41.9,22.1,6.1,15.6,2.0,12.2,0.0,0.0,67.3,30.2,46.0,87.0,66.0,79.1,42.5,,,,,,,
58,47,NC,20,142.0,736,1296.2,142.0,132.2,120.2,123.3,130.2,143.3,,,42.3,24.9,5.4,11.3,7.6,8.5,0.0,0.0,68.9,29.1,46.6,86.3,62.1,77.8,43.9,,,,,,,
59,48,두산,18,142.0,615,1288.2,142.0,132.7,117.2,129.5,128.4,132.5,118.0,,45.6,19.9,11.9,7.3,8.0,7.3,0.0,0.0,65.5,30.3,44.7,86.4,67.2,78.7,40.9,,,,,,,
60,49,삼성,14,142.0,543,1144.0,142.0,130.0,116.6,128.3,130.7,130.9,,108.2,62.8,21.3,7.4,5.5,2.2,0.6,0.0,0.1,64.9,24.9,45.4,86.4,60.2,79.4,51.2,,,,,,,
61,50,한화,21,142.0,717,1258.2,142.0,129.7,118.6,127.8,130.5,136.3,,,53.4,18.7,9.7,11.7,5.9,0.6,0.0,0.0,64.1,27.1,43.0,86.6,66.3,79.3,42.9,,,,,,,
62,51,SK,14,142.0,556,1129.1,142.0,131.4,117.3,129.9,130.8,135.8,113.2,129.1,59.1,22.3,7.6,5.5,3.3,1.3,0.2,0.8,63.3,26.1,43.8,88.9,65.2,81.5,47.5,,,,,,,
63,52,NC,16,141.9,628,1286.1,141.9,130.7,117.9,126.1,132.3,139.8,,58.2,49.2,22.5,5.9,9.1,6.8,5.4,0.0,1.1,64.3,28.2,45.3,85.8,59.6,77.3,47.5,,,,,,,
64,53,한화,20,141.8,705,1265.0,141.8,131.0,118.6,126.5,129.1,140.0,,,44.7,17.0,12.2,12.0,9.0,5.1,0.0,0.0,65.9,27.3,44.1,86.8,66.4,79.7,43.4,,,,,,,
65,54,SK,16,141.7,600,1274.0,141.7,131.8,118.9,127.7,131.3,134.8,112.1,93.6,51.1,16.4,10.2,7.1,6.5,7.8,0.0,0.9,67.4,25.8,46.3,87.3,61.4,80.0,49.3,,,,,,,
66,55,KT,18,141.6,631,1274.1,141.6,129.6,115.1,124.6,130.0,136.0,118.1,,41.9,22.1,11.4,15.7,4.0,3.2,1.8,0.0,67.2,30.5,47.1,87.0,65.5,79.4,45.3,,,,,,,
67,56,롯데,15,141.5,618,1281.1,141.5,129.7,117.7,128.6,129.2,138.3,,94.9,48.2,19.5,12.1,4.3,7.8,5.5,0.0,2.6,66.9,26.3,46.4,87.8,60.1,79.9,49.5,,,,,,,
68,57,롯데,17,141.5,623,1287.1,141.5,131.7,118.4,129.1,129.7,141.0,,96.6,43.5,19.1,12.4,7.0,12.9,4.9,0.0,0.3,67.2,29.7,45.4,87.3,62.3,77.8,41.7,,,,,,,
69,58,한화,19,141.5,649,1268.2,141.5,131.1,119.6,128.4,127.1,141.1,,,37.9,16.0,10.4,11.9,9.9,13.9,0.0,0.0,66.9,29.2,44.7,88.2,66.8,80.0,41.1,,,,,,,
70,59,넥센,14,141.5,530,1131.2,141.5,129.5,118.0,128.5,128.1,133.6,,128.6,58.1,19.5,8.9,4.6,6.5,1.5,0.0,0.9,64.0,24.7,43.8,87.1,61.8,79.7,48.6,,,,,,,
71,60,삼성,20,141.4,698,1272.1,141.4,130.6,116.7,126.7,130.0,141.9,,,48.7,24.2,10.5,11.0,1.8,3.7,0.0,0.0,68.6,27.8,45.9,87.4,65.8,80.1,44.2,,,,,,,
72,61,삼성,21,141.4,676,1259.0,141.4,130.7,117.7,127.3,130.9,139.5,,,44.0,27.9,10.2,13.0,1.5,3.4,0.0,0.0,64.7,29.4,44.8,86.6,64.8,78.5,43.5,,,,,,,
73,62,SK,20,141.4,686,1259.1,141.4,131.2,120.4,129.1,129.7,139.5,,,47.2,19.6,9.0,9.2,4.7,10.4,0.0,0.0,66.8,27.4,44.2,86.9,69.5,80.8,42.7,,,,,,,
74,63,한화,16,141.4,680,1292.2,141.4,129.3,116.0,126.7,128.5,139.1,128.0,75.6,54.7,18.6,9.6,4.9,9.6,1.8,0.0,0.8,66.2,25.5,44.3,88.0,61.0,79.6,46.2,,,,,,,
75,64,한화,15,141.3,672,1279.2,141.3,130.3,116.9,128.1,129.7,139.4,,114.2,52.0,24.9,9.3,6.0,3.1,1.3,0.0,3.4,65.1,22.6,43.6,88.3,59.6,80.8,49.4,,,,,,,
76,65,두산,17,141.3,590,1288.0,141.3,128.7,116.5,129.5,128.1,121.4,,115.4,52.7,18.0,9.0,9.2,5.7,5.2,0.0,0.1,67.1,29.0,45.0,88.4,68.7,81.1,42.0,,,,,,,
77,66,NC,14,141.2,580,1135.2,141.2,129.1,122.2,126.7,130.2,135.8,,127.2,64.8,11.0,9.9,9.6,2.8,0.4,0.0,1.5,61.4,30.1,44.2,86.0,68.8,79.6,45.0,,,,,,,
78,67,넥센,16,141.1,608,1280.1,141.1,128.2,117.4,124.4,155.9,137.1,,44.7,54.3,23.5,9.0,5.4,6.5,1.0,0.0,0.4,67.3,26.7,47.5,88.5,65.5,82.2,51.4,,,,,,,
79,68,두산,19,141.1,621,1283.2,141.1,134.6,118.6,129.1,129.0,133.4,,,42.2,22.2,10.1,4.9,8.9,11.7,0.0,0.0,66.9,30.0,45.3,88.9,70.1,81.7,41.4,,,,,,,
80,69,KIA,14,141.1,507,1121.2,141.1,128.4,117.6,128.6,129.6,131.0,121.0,126.1,55.5,20.1,12.6,7.8,2.2,0.7,0.0,1.2,61.8,26.1,42.8,87.9,64.7,80.4,46.8,,,,,,,
81,70,KIA,15,141.1,628,1273.0,141.1,129.7,117.8,125.5,128.8,125.1,,102.0,52.9,21.3,9.4,5.8,3.4,3.6,0.0,3.5,65.7,24.9,44.9,87.7,63.6,80.8,48.9,,,,,,,
82,71,삼성,18,141.1,618,1285.1,141.1,129.0,117.0,130.6,130.6,138.4,,,46.5,19.7,12.9,12.4,5.2,3.3,0.0,0.0,65.7,31.3,46.4,86.0,67.4,79.0,43.7,,,,,,,
83,72,SK,17,141.1,608,1270.2,141.1,133.6,119.4,128.9,130.9,135.8,114.6,105.7,46.3,15.7,12.5,9.4,8.8,6.7,0.2,0.5,68.5,28.7,46.5,88.3,65.9,80.7,44.7,,,,,,,
84,73,NC,19,141.0,645,1284.1,141.0,131.1,124.8,123.1,132.5,144.2,,,42.5,25.5,6.2,11.4,6.3,8.2,0.0,0.0,67.7,28.9,46.0,87.0,62.5,78.4,44.0,,,,,,,
85,74,kt,17,140.9,588,1256.0,140.9,129.7,117.3,123.3,130.7,141.5,120.0,107.1,43.3,14.3,10.4,12.4,6.6,10.3,2.6,0.2,69.3,28.6,46.9,88.4,68.5,81.7,44.9,,,,,,,
86,75,두산,14,140.8,564,1123.2,140.8,129.2,115.9,126.5,130.0,125.0,,127.1,56.9,18.7,9.7,7.6,4.8,1.6,0.0,0.8,61.4,27.7,43.6,88.5,65.9,81.0,47.2,,,,,,,
87,76,kt,16,140.8,693,1273.0,140.8,129.1,115.9,125.1,130.8,138.6,,16.1,49.8,24.2,9.6,10.3,3.3,1.8,0.0,0.9,64.1,23.2,43.9,86.9,59.8,79.9,50.7,,,,,,,
88,77,LG,14,140.7,574,1142.2,140.7,128.9,117.5,127.1,129.8,136.5,,124.1,57.5,16.1,11.2,8.6,2.7,3.7,0.0,0.3,64.3,23.3,44.1,88.9,63.0,82.2,50.7,,,,,,,
89,78,두산,16,140.6,579,1287.2,140.6,129.5,117.6,128.9,130.4,121.3,,54.1,51.9,23.0,8.8,6.8,5.6,3.3,0.0,0.6,63.8,26.7,44.2,87.6,61.7,79.4,47.2,,,,,,,
90,79,삼성,16,140.5,647,1282.1,140.5,129.1,114.5,129.5,130.9,140.8,,99.0,51.0,23.6,7.6,6.6,6.2,4.8,0.0,0.2,63.8,28.9,45.1,87.8,67.0,80.7,46.4,,,,,,,
91,80,한화,17,140.5,634,1273.0,140.5,128.3,114.2,125.6,127.8,139.2,,107.9,47.5,19.5,6.6,4.8,15.2,6.3,0.0,0.2,67.9,29.1,45.4,88.4,69.1,81.2,42.0,,,,,,,
92,81,kt,15,140.4,652,1266.2,140.4,128.7,116.4,124.5,128.6,134.3,126.3,96.2,46.1,22.1,14.7,7.2,1.5,4.7,0.8,2.9,62.2,23.6,43.5,87.3,59.8,80.0,51.6,,,,,,,
93,82,NC,15,140.3,635,1279.1,140.3,130.6,118.4,126.1,129.8,139.1,136.0,115.7,48.0,22.1,10.9,8.0,3.2,3.5,0.0,4.2,64.5,28.1,46.4,86.0,61.7,78.6,50.3,,,,,,,
94,83,두산,15,140.2,623,1286.0,140.2,130.1,114.6,127.0,127.4,124.0,,83.2,50.3,24.2,11.2,6.1,1.9,4.5,0.0,1.8,62.2,23.7,42.9,87.2,58.4,79.2,49.8,,,,,,,
95,84,SK,15,140.1,621,1280.2,140.1,130.2,118.2,126.2,130.2,137.1,120.2,112.4,54.1,19.6,9.7,6.9,4.0,2.6,0.0,3.1,64.9,24.0,45.0,86.3,57.8,78.9,51.2,,,,,,,
96,85,롯데,14,140.1,528,1100.0,140.1,129.8,118.5,128.4,129.6,131.7,123.5,126.8,55.5,16.7,11.8,8.1,5.0,1.7,0.7,0.6,64.3,26.3,44.3,89.0,64.5,81.4,47.5,,,,,,,
97,86,넥센,17,139.9,554,1271.0,139.9,129.1,117.6,126.0,127.4,141.6,,113.8,39.6,24.3,8.0,7.0,10.7,10.3,0.0,0.2,68.4,30.2,47.8,88.1,64.3,79.9,46.0,,,,,,,
98,87,삼성,17,139.8,613,1281.1,139.8,128.8,115.7,126.0,129.7,139.3,,109.4,50.2,20.9,10.5,6.8,5.8,5.5,0.0,0.2,66.2,27.2,44.5,87.2,67.8,80.6,44.3,,,,,,,
99,88,삼성,19,139.8,627,1275.1,139.8,128.8,113.9,125.3,130.8,139.3,,,47.1,26.1,11.3,9.8,2.1,3.6,0.0,0.0,67.6,27.8,45.5,87.4,68.2,80.9,44.6,,,,,,,
100,89,한화,14,139.3,530,1129.0,139.3,128.4,116.5,123.9,128.0,124.4,,123.8,62.9,17.8,7.8,4.8,6.3,0.1,0.0,0.2,64.8,24.0,44.0,90.4,63.9,83.0,48.9,,,,,,,
