,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,구원,구원,구원,구원,구원,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,터프 상황,터프 상황,터프 상황,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,구원WAR,등판,이닝,ERA,승,패,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,홀드,세,블론,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
78,67,kt,16,4.98,549,602.0,5.68,23,22,48,27,15,6,21,64.3,59,50,14,6,11,441,149,33.8,0.85,0.88,4.98,-6.31,,,,,,,,,
79,68,두산,16,4.80,435,465.2,5.08,18,17,55,36,15,0,15,70.6,83,54,8,3,7,258,81,31.4,0.72,0.86,4.80,-2.69,,,,,,,,,
80,69,롯데,16,4.77,524,514.1,5.41,28,24,59,27,18,6,24,60.0,56,55,15,3,8,370,133,36.0,0.84,0.93,4.77,-8.31,,,,,,,,,
81,70,두산,22,4.77,526,534.1,4.82,22,29,68,32,17,5,22,65.3,50,54,13,2,7,358,135,37.7,0.83,0.95,4.77,-3.89,,,,,,,,,
82,71,SSG,22,4.75,454,487.0,4.68,32,17,67,45,23,5,28,66.2,121,77,9,2,11,200,78,39.0,0.94,1.18,4.75,1.05,,,,,,,,,
83,72,삼성,21,4.69,532,489.1,4.80,25,20,80,46,12,2,14,79.3,128,71,12,4,5,269,93,34.6,0.80,0.94,4.69,-0.57,,,,,,,,,
84,73,KIA,22,4.61,531,496.1,4.72,29,24,74,38,17,5,22,69.1,95,67,14,5,7,291,87,29.9,0.88,1.07,4.61,-0.85,,,,,,,,,
85,74,LG,17,4.37,475,455.0,4.71,23,27,66,32,16,9,25,66.7,64,55,13,8,14,350,115,32.9,0.96,1.04,4.37,-6.37,,,,,,,,,
86,75,롯데,21,4.32,588,556.1,5.68,27,24,76,37,15,3,18,71.2,89,64,10,2,4,318,113,35.5,0.81,0.95,4.32,0.61,,,,,,,,,
87,76,두산,15,4.31,479,519.0,5.41,27,25,57,30,17,5,22,63.8,67,57,11,7,15,377,138,36.6,0.79,0.94,4.31,-3.27,,,,,,,,,
88,77,삼성,22,4.30,542,496.0,4.52,27,27,71,34,21,4,25,61.8,64,61,15,4,6,290,104,35.9,0.89,1.03,4.30,-4.57,,,,,,,,,
89,78,SK,18,4.29,490,501.1,5.49,23,24,63,29,21,3,24,58.0,44,52,10,1,7,210,66,31.4,0.70,0.90,4.29,-8.98,,,,,,,,,
90,79,NC,18,4.26,478,560.0,5.53,33,28,51,24,19,6,25,55.8,47,57,7,3,8,326,122,37.4,0.84,0.90,4.26,-9.83,,,,,,,,,
91,80,SK,17,4.11,464,479.2,5.63,24,26,64,30,22,10,32,57.7,47,54,9,5,7,247,90,36.4,0.81,0.98,4.11,-6.44,,,,,,,,,
92,81,한화,22,4.10,605,585.2,4.76,19,34,81,25,25,2,27,50.0,-4,44,13,1,6,278,107,38.5,0.86,0.99,4.10,-6.96,,,,,,,,,
93,82,KIA,17,4.07,438,471.2,5.71,24,17,46,33,17,3,20,66.0,89,57,9,10,6,284,108,38.0,0.78,0.93,4.07,-4.89,,,,,,,,,
94,83,키움,21,3.67,485,512.0,4.76,19,21,56,30,16,4,20,65.2,57,49,8,3,6,217,87,40.1,0.75,0.92,3.67,-2.57,,,,,,,,,
95,84,NC,19,3.52,501,499.0,4.46,21,25,68,32,17,2,19,65.3,58,53,9,4,7,269,103,38.3,0.84,1.00,3.52,-0.09,,,,,,,,,
96,85,한화,21,3.49,573,575.2,4.83,18,23,62,21,18,5,23,53.9,20,39,8,3,5,359,120,33.4,0.77,0.87,3.49,-3.71,,,,,,,,,
97,86,넥센,18,3.22,447,466.1,5.67,22,25,72,32,23,0,23,58.2,45,54,10,1,9,218,90,41.3,0.82,0.98,3.22,-7.48,,,,,,,,,
98,87,롯데,15,2.87,474,518.2,5.43,27,24,47,19,19,8,27,50.0,27,46,13,2,16,363,141,38.8,0.82,0.96,2.87,-8.97,,,,,,,,,
99,88,LG,18,2.68,457,456.1,5.62,24,27,43,29,17,4,21,63.0,53,53,6,6,7,287,115,40.1,0.81,0.88,2.68,-9.67,,,,,,,,,
100,89,SK,20,2.49,542,527.0,5.94,18,25,53,20,18,6,24,52.6,13,38,5,3,5,285,119,41.8,0.73,0.83,2.49,-10.68,,,,,,,,,
