,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,가치,출장,이닝,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,직구,출장,이닝,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
32,21,삼성,14,7.5,543,1144.0,7.5,23.8,-3.0,-4.4,-3.9,-0.6,0.0,2.0,0.06,0.57,-0.21,-0.41,-0.92,-0.58,,0.09,,,,,,,,,,,,,,
33,22,LG,17,2.9,619,1279.0,2.9,44.8,-4.3,17.1,-9.1,-1.6,0.0,-5.7,0.03,0.85,-0.18,1.02,-0.61,-0.31,,-0.05,,,,,,,,,,,,,,
34,23,NC,21,-0.4,696,1256.2,-0.4,18.0,-12.7,5.5,9.5,-1.2,0.0,0.0,-0.00,0.33,-0.94,0.24,0.42,-0.06,,,,,,,,,,,,,,,,
35,24,두산,22,-0.5,670,1279.1,-0.5,28.3,6.0,-3.6,-13.0,-5.1,0.0,0.0,-0.00,0.43,0.41,-0.29,-0.75,-1.05,,,,,,,,,,,,,,,,
36,25,삼성,15,-1.0,577,1275.1,-1.0,-3.8,4.0,-11.4,4.0,8.5,-0.1,-3.8,-0.01,-0.07,0.18,-1.21,0.74,1.15,-5.10,-0.00,,,,,,,,,,,,,,
37,26,KIA,19,-1.9,603,1264.0,-1.9,20.7,-2.1,-6.8,-7.0,-18.8,0.0,0.0,-0.02,0.49,-0.12,-0.37,-1.28,-0.63,,,,,,,,,,,,,,,,
38,27,KT,19,-3.3,567,1276.0,-3.3,4.1,-6.4,29.8,12.4,22.8,0.0,0.0,-0.05,0.09,-0.43,0.94,1.37,0.72,,,,,,,,,,,,,,,,
39,28,SK,15,-7.3,621,1280.2,-7.3,0.2,-5.0,14.6,6.1,3.3,0.2,-6.8,-0.06,0.01,-0.24,0.98,0.71,0.59,2.40,-0.01,,,,,,,,,,,,,,
40,29,KIA,21,-11.2,676,1269.0,-11.2,-24.5,-8.1,14.1,3.9,-11.4,0.0,0.0,-0.11,-0.54,-0.47,0.46,0.64,-0.64,,,,,,,,,,,,,,,,
41,30,KT,20,-12.2,665,1290.1,-12.2,31.5,2.6,-6.3,0.4,7.8,0.0,0.0,-0.14,0.65,0.21,-0.22,0.04,0.26,,,,,,,,,,,,,,,,
