,실점,경기,승,패,무,승률,Season
11,11,4,0,4,0,0.0,2018
12,12,5,0,5,0,0.0,2018
13,13,3,0,3,0,0.0,2018
14,14,2,0,2,0,0.0,2018
15,15,1,0,1,0,0.0,2018
16,16,2,0,2,0,0.0,2018
17,20,1,0,1,0,0.0,2018
0,0,10,10,0,0,1.0,2019
1,1,19,19,0,0,1.0,2019
2,2,30,25,5,0,0.833,2019
3,3,19,12,7,0,0.632,2019
4,4,26,14,12,0,0.538,2019
5,5,8,2,6,0,0.25,2019
6,6,8,3,5,0,0.375,2019
7,7,8,2,5,1,0.286,2019
8,8,4,1,3,0,0.25,2019
9,9,2,0,2,0,0.0,2019
10,10,2,0,2,0,0.0,2019
11,11,3,0,3,0,0.0,2019
12,12,3,0,3,0,0.0,2019
13,13,1,0,1,0,0.0,2019
14,14,1,0,1,0,0.0,2019
0,0,13,13,0,0,1.0,2020
1,1,16,15,0,1,1.0,2020
2,2,16,14,1,1,0.933,2020
3,3,12,9,3,0,0.75,2020
4,4,18,11,7,0,0.611,2020
5,5,15,4,10,1,0.286,2020
6,6,13,4,8,1,0.333,2020
7,7,9,1,8,0,0.111,2020
8,8,12,5,7,0,0.417,2020
9,9,2,0,2,0,0.0,2020
10,10,6,2,4,0,0.333,2020
11,11,2,0,2,0,0.0,2020
12,12,7,1,6,0,0.143,2020
13,13,2,0,2,0,0.0,2020
14,17,1,0,1,0,0.0,2020
0,0,10,10,0,0,1.0,2021
1,1,14,12,2,0,0.857,2021
2,2,14,12,2,0,0.857,2021
3,3,30,18,7,5,0.72,2021
4,4,14,4,10,0,0.286,2021
5,5,21,9,10,2,0.474,2021
6,6,7,3,4,0,0.429,2021
7,7,9,0,9,0,0.0,2021
8,8,7,2,5,0,0.286,2021
9,9,5,1,4,0,0.2,2021
10,10,5,0,4,1,0.0,2021
11,11,2,0,2,0,0.0,2021
12,12,2,0,2,0,0.0,2021
13,13,1,0,1,0,0.0,2021
14,14,1,0,1,0,0.0,2021
15,16,1,0,1,0,0.0,2021
16,18,1,0,1,0,0.0,2021
0,0,7,7,0,0,1.0,2022
1,1,14,13,1,0,0.929,2022
2,2,15,11,4,0,0.733,2022
3,3,14,10,3,1,0.769,2022
4,4,23,9,14,0,0.391,2022
5,5,25,5,20,0,0.2,2022
6,6,9,0,9,0,0.0,2022
7,7,5,2,3,0,0.4,2022
8,8,11,2,9,0,0.182,2022
9,9,6,0,5,1,0.0,2022
10,10,1,0,1,0,0.0,2022
11,11,7,1,6,0,0.143,2022
12,13,2,0,2,0,0.0,2022
13,14,3,0,3,0,0.0,2022
14,16,2,0,2,0,0.0,2022
