,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
20,,정철원,22두P,0.00,0,0.00,0,0,,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
21,,김지용,22두P,0.00,0,0.00,0,0,,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
22,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
23,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
24,,장원준,22두P,0.00,0,0.00,0,0,,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
25,,권민석,22두3B,0.00,3,0.00,0,0,,7,0.0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
26,23,최용제,22두,-0.00,1,-0.00,0,0,,1,0.0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
27,24,강현구,22두LF,-0.01,5,-0.01,0,0,,3,0.0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
28,25,홍성호,22두RF,-0.01,19,-0.01,0,0,,5,0.0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
29,,서예일,22두2B,-0.01,27,-0.01,0,0,,9,0.0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
30,27,송승환,22두LF,-0.01,28,-0.01,0,0,,7,0.0,0,0,0,0,0,0,0,0,,,,,0,1,1,0,0
31,28,박유연,22두C,-0.01,19,-0.01,0,0,,6,0.0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
32,29,안승한,22두C,-0.02,39,-0.02,0,0,,16,0.0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
33,30,양찬열,22두RF,-0.04,94,-0.04,0,0,,35,0.0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
34,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
35,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
36,31,장승현,22두C,-0.05,109,-0.05,0,0,,30,0.0,0,0,0,0,0,0,0,0,,,,,0,0,1,0,0
37,32,김민혁,22두1B,-0.05,97,-0.05,0,0,,29,0.0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0
38,33,김대한,22두RF,-0.05,110,-0.05,2,1,66.7,34,8.8,1,2,0,0,0,1,0,0,100.0,66.7,,,0,0,1,0,0
39,34,이유찬,22두SS,-0.22,31,-0.22,1,1,50.0,8,25.0,0,1,0,0,0,0,0,1,,100.0,,0.0,0,0,0,0,1
40,35,김재환,22두LF,-0.24,517,-0.24,2,1,66.7,171,1.8,1,2,0,0,1,0,0,1,50.0,100.0,,0.0,0,0,9,1,1
41,36,페르난데스,22두DH,-0.29,550,-0.29,0,0,,204,0.0,0,0,0,0,0,0,0,0,,,,,0,0,5,0,0
42,37,박계범,22두3B,-0.30,168,-0.30,5,3,62.5,60,13.3,2,5,0,0,1,3,0,0,66.7,62.5,,,0,0,0,0,0
43,38,김태근,22두CF,-0.42,6,-0.42,0,1,0.0,4,25.0,0,0,0,0,0,1,0,0,,0.0,,,0,0,0,0,0
44,39,정수빈,22두CF,-0.53,455,-0.53,15,8,65.2,180,12.8,1,15,0,0,2,6,0,2,33.3,71.4,,0.0,0,1,5,2,3
45,40,박세혁,22두C,-0.62,402,-0.62,2,2,50.0,136,2.9,1,2,0,0,0,2,0,0,100.0,50.0,,,0,0,6,0,0
46,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
47,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
48,41,오재원,22두2B,-0.63,31,-0.63,1,2,33.3,11,27.3,0,1,0,0,1,2,0,0,0.0,33.3,,,0,0,1,0,1
49,42,김재호,22두SS,-0.95,264,-0.95,0,2,0.0,85,2.4,0,0,0,0,1,1,0,1,0.0,0.0,,0.0,0,0,4,1,0
50,43,안권수,22두RF,-1.21,267,-1.21,3,4,42.9,116,6.0,1,3,0,0,2,4,0,0,33.3,42.9,,,0,0,3,2,0
