,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
,순,이름,팀,타점,타석,타점.1,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
83,순,이름,팀,타점,타석,타점,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
84,61,NC,19,639,5631,639,511,3184,16.1,126,1172,10.8,2313,0.411,1092,64,55,53.8
85,,kt,16,639,5620,639,523,3184,16.4,130,1191,10.9,2279,0.406,1066,65,30,68.4
86,63,kt,15,633,5605,633,504,3110,16.2,118,1119,10.6,2238,0.399,1069,75,45,62.5
87,64,KIA,14,631,5023,631,510,2921,17.5,95,1030,9.2,2096,0.417,945,67,32,67.7
88,65,NC,18,629,5488,629,486,2916,16.7,115,1084,10.6,2139,0.390,993,35,36,49.3
89,66,삼성,22,626,5647,626,523,3278,16.0,119,1196,10.0,2358,0.418,1079,83,38,68.6
90,67,kt,17,625,5484,625,506,2976,17.0,118,1084,10.9,2125,0.388,982,62,41,60.2
91,68,LG,14,623,5070,623,533,2894,18.4,112,1098,10.2,2040,0.402,953,77,27,74.0
92,69,LG,21,622,5533,622,512,3101,16.5,102,1164,8.8,2294,0.415,1090,52,27,65.8
93,,SK,19,622,5542,622,505,3076,16.4,92,1115,8.3,2217,0.400,1039,35,20,63.6
94,순,이름,팀,타점,타석,타점,타점,타점,타점,병살타,병살타,병살타,잔루,잔루/타석,팀잔루,희생번트,희생번트,희생번트
95,순,이름,팀,타점,타석,타점,순수,주자,%,병살타,상황,%,잔루,잔루/타석,팀잔루,희번,실패,%
96,71,KT,19,615,5572,615,512,3287,15.6,113,1227,9.2,2360,0.424,1097,45,53,45.9
97,72,NC,22,613,5585,613,508,3090,16.4,112,1133,9.9,2253,0.403,1050,50,41,55.0
98,73,LG,19,604,5532,604,510,3060,16.7,117,1119,10.5,2222,0.402,1039,49,51,49.0
99,74,KIA,15,602,5454,602,466,2721,17.1,105,971,10.8,2023,0.371,954,79,32,71.2
100,75,LG,15,601,5599,601,487,3098,15.7,98,1138,8.6,2306,0.412,1066,75,49,60.5
101,76,삼성,19,598,5533,598,476,2992,15.9,107,1099,9.7,2192,0.396,1041,58,32,64.4
102,77,SK,20,595,5502,595,452,2917,15.5,112,1077,10.4,2132,0.388,1014,49,32,60.5
103,78,한화,14,594,5055,594,490,3001,16.3,125,1105,11.3,2164,0.428,1002,50,21,70.4
