,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,타석,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타
,순,이름,팀,BABIP,타석,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀
45,30,두산,14,.328,5083,41.2,21.1,37.6,45.3,33.5,1524,781,1389,1675,1238,511,323,465,601,375,.335,.414,.335,.359,.303
46,순,이름,팀,정렬,타석,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타
47,순,이름,팀,BABIP,타석,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀
48,31,한화,15,.327,5713,44.2,23.3,32.6,45.5,31.2,1641,866,1210,1691,1160,527,429,360,541,346,.321,.495,.298,.320,.298
49,32,두산,16,.327,5841,38.5,24.1,37.4,43.3,32.6,1601,1002,1557,1800,1358,537,465,502,664,375,.335,.464,.322,.369,.276
50,33,NC,20,.327,5833,40.3,23.6,36.0,46.4,30.0,1655,970,1479,1904,1230,569,440,473,712,330,.344,.454,.320,.374,.268
51,34,kt,15,.326,5605,44.0,22.2,33.9,41.5,36.4,1678,845,1292,1582,1388,566,434,344,525,385,.337,.514,.266,.332,.277
52,35,한화,14,.326,5055,42.8,21.5,35.8,44.8,33.7,1530,769,1279,1604,1205,504,326,421,552,373,.329,.424,.329,.344,.310
53,36,삼성,16,.326,5863,38.2,23.1,38.7,43.5,33.4,1616,976,1637,1840,1413,477,464,551,655,373,.295,.475,.337,.356,.264
54,37,KIA,16,.325,5696,45.0,24.7,30.3,47.7,27.6,1802,988,1211,1907,1106,614,431,383,702,295,.341,.436,.316,.368,.267
55,,한화,18,.325,5539,39.6,22.3,38.1,45.7,32.0,1535,863,1475,1771,1239,509,405,454,581,382,.332,.469,.308,.328,.308
56,39,키움,19,.325,5658,39.8,23.2,37.0,48.3,28.5,1612,940,1496,1954,1154,526,423,456,688,294,.326,.450,.305,.352,.255
57,40,KT,19,.324,5572,42.2,22.3,35.5,44.1,33.6,1679,889,1414,1756,1337,558,413,402,571,389,.332,.465,.284,.325,.291
58,순,이름,팀,정렬,타석,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타
59,순,이름,팀,BABIP,타석,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀
60,,NC,14,.324,5031,37.6,20.6,41.8,47.2,32.2,1319,723,1466,1655,1130,447,297,505,615,337,.339,.411,.345,.372,.298
61,42,롯데,21,.323,5726,43.1,22.5,34.4,46.0,31.5,1741,909,1389,1858,1272,565,406,421,601,385,.325,.447,.303,.324,.303
62,43,kt,17,.323,5484,43.1,23.2,33.8,43.9,32.9,1688,909,1323,1721,1290,547,427,386,578,355,.324,.470,.292,.336,.275
63,44,두산,20,.322,5773,36.2,23.6,40.2,44.9,31.5,1536,1003,1708,1906,1338,462,449,565,652,375,.301,.448,.331,.342,.280
64,45,LG,14,.321,5070,40.5,20.3,39.1,45.6,34.1,1431,717,1382,1609,1204,471,291,451,563,359,.329,.406,.326,.350,.298
65,46,LG,15,.321,5599,39.1,24.3,36.6,44.9,30.8,1512,940,1413,1734,1191,473,420,438,609,302,.313,.447,.310,.351,.254
66,47,두산,15,.319,5759,38.1,24.1,37.8,42.6,33.4,1577,995,1565,1762,1380,533,453,450,612,371,.338,.455,.288,.347,.269
67,48,삼성,22,.319,5647,42.3,22.1,35.6,47.4,30.5,1688,884,1422,1891,1219,535,387,435,625,345,.317,.438,.306,.331,.283
68,49,SK,15,.319,5588,40.6,24.0,35.3,44.5,31.5,1550,916,1348,1698,1200,513,419,391,578,326,.331,.457,.290,.340,.272
69,50,KIA,22,.317,5703,39.3,23.1,37.6,43.7,33.2,1579,929,1510,1757,1332,481,399,482,600,363,.305,.430,.319,.342,.273
70,순,이름,팀,정렬,타석,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타
71,순,이름,팀,BABIP,타석,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀
72,51,삼성,17,.317,5707,41.1,22.0,36.9,43.9,34.0,1690,906,1516,1807,1399,512,417,490,631,371,.303,.460,.323,.349,.265
73,52,kt,16,.317,5620,44.6,23.4,32.1,41.3,35.3,1797,941,1292,1665,1424,600,440,329,529,400,.334,.468,.255,.318,.281
74,53,KT,21,.316,5619,43.6,22.7,33.7,46.2,31.1,1640,853,1265,1737,1168,539,366,369,583,325,.329,.429,.292,.336,.278
75,54,SK,18,.315,5682,43.2,22.8,34.0,47.8,29.4,1690,891,1332,1872,1150,593,410,400,701,292,.351,.460,.300,.375,.254
76,55,KIA,20,.315,5637,36.8,23.6,39.6,44.7,31.7,1463,938,1575,1778,1260,431,428,494,598,327,.295,.456,.314,.336,.260
77,56,KT,18,.315,5605,43.7,22.4,33.9,46.5,31.1,1712,877,1327,1821,1218,582,408,391,627,346,.340,.465,.295,.344,.284
78,57,LG,20,.314,5681,39.9,22.0,38.2,46.8,31.2,1607,885,1538,1887,1258,498,394,492,642,348,.310,.445,.320,.340,.277
79,58,키움,20,.314,5721,37.7,23.8,38.5,47.7,28.5,1475,933,1507,1866,1116,466,408,458,663,261,.316,.437,.304,.355,.234
80,59,NC,19,.312,5631,43.4,23.0,33.6,47.0,29.9,1773,942,1373,1923,1223,609,394,380,649,340,.344,.418,.277,.338,.278
81,60,롯데,22,.312,5534,40.8,23.9,35.3,44.6,31.5,1613,947,1397,1763,1247,477,412,431,551,357,.296,.435,.309,.313,.286
82,순,이름,팀,정렬,타석,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타
83,순,이름,팀,BABIP,타석,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀
84,61,LG,19,.312,5532,40.5,23.3,36.2,46.5,30.2,1603,924,1436,1841,1198,486,409,420,581,325,.303,.443,.293,.316,.271
85,62,두산,19,.311,5669,34.1,23.7,42.2,46.7,29.6,1403,973,1736,1920,1219,423,417,523,629,317,.302,.429,.301,.328,.260
86,63,한화,22,.311,5513,37.4,22.4,40.2,45.9,31.7,1351,810,1452,1658,1145,405,345,447,535,317,.300,.426,.308,.323,.277
87,64,KT,22,.310,5547,44.9,22.8,32.4,47.0,30.3,1652,838,1191,1729,1114,548,365,324,590,282,.332,.436,.272,.341,.253
88,65,한화,19,.310,5482,37.2,24.1,38.6,46.6,29.3,1412,914,1465,1767,1110,417,388,443,568,292,.295,.425,.302,.321,.263
89,66,키움,21,.309,5645,37.9,22.6,39.5,48.7,28.7,1446,863,1507,1858,1095,457,352,450,609,298,.316,.408,.299,.328,.272
90,67,롯데,20,.309,5669,43.4,23.9,32.7,45.7,30.4,1773,977,1333,1864,1242,578,439,349,593,334,.326,.449,.262,.318,.269
91,68,두산,21,.309,5645,40.9,22.3,36.9,45.3,32.5,1618,881,1458,1791,1285,511,363,440,597,354,.316,.412,.302,.333,.276
92,69,KIA,19,.308,5505,38.8,23.0,38.2,44.7,32.3,1533,910,1512,1769,1276,447,395,444,548,343,.292,.434,.294,.310,.269
93,70,삼성,20,.308,5574,41.0,22.9,36.1,47.8,29.4,1613,900,1420,1878,1155,498,415,404,611,291,.309,.461,.285,.325,.252
94,순,이름,팀,정렬,타석,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타
95,순,이름,팀,BABIP,타석,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀
96,71,LG,22,.307,5627,37.7,23.8,38.5,45.1,31.0,1509,954,1540,1807,1242,430,406,489,598,321,.285,.426,.318,.331,.259
97,72,NC,18,.306,5488,41.5,22.4,36.1,45.8,31.8,1584,854,1376,1747,1213,519,375,386,559,346,.328,.439,.281,.320,.285
98,73,한화,21,.306,5495,39.7,23.5,36.8,46.0,30.5,1350,798,1252,1565,1037,405,352,353,501,257,.300,.441,.282,.320,.248
99,74,한화,20,.305,5483,39.8,22.6,37.5,45.2,32.2,1473,837,1388,1671,1190,431,368,389,514,306,.293,.440,.280,.308,.257
100,75,SK,17,.304,5564,41.7,22.2,36.2,47.1,30.7,1593,849,1383,1802,1174,549,385,403,631,321,.345,.454,.291,.350,.273
101,76,SK,19,.303,5542,43.6,22.6,33.8,47.9,29.5,1724,892,1336,1895,1165,568,378,343,640,271,.330,.424,.257,.338,.233
102,77,NC,21,.302,5532,39.6,24.0,36.3,46.4,29.6,1472,893,1350,1723,1099,468,364,422,619,271,.318,.408,.313,.359,.247
103,78,롯데,19,.302,5488,40.9,23.3,35.8,44.2,32.5,1569,894,1371,1694,1246,453,384,394,517,330,.289,.430,.287,.305,.265
104,79,두산,22,.300,5510,41.9,23.0,35.1,45.8,31.2,1626,894,1365,1780,1211,490,365,394,580,304,.301,.408,.289,.326,.251
105,80,삼성,21,.300,5552,40.1,23.1,36.9,45.0,32.0,1577,907,1450,1769,1258,451,376,465,567,349,.286,.415,.321,.321,.277
106,순,이름,팀,정렬,타석,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 비율%,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,타구 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,안타 방향 개수,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타,타구 방향별 안타
107,순,이름,팀,BABIP,타석,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀,좌,중,우,당,밀
108,81,NC,22,.300,5585,37.5,22.7,39.8,44.8,32.4,1469,891,1558,1756,1271,435,348,478,570,343,.296,.391,.307,.325,.270
109,82,키움,22,.299,5655,40.1,22.9,37.0,42.9,34.2,1572,898,1451,1682,1341,481,353,415,571,325,.306,.393,.286,.340,.242
110,83,KIA,15,.298,5454,45.3,21.7,33.0,46.8,31.4,1654,793,1203,1710,1147,538,348,310,548,300,.325,.439,.258,.321,.262
111,84,SSG,22,.297,5642,38.1,23.2,38.7,46.1,30.7,1455,886,1477,1760,1172,428,387,430,582,276,.294,.437,.291,.331,.236
112,85,SSG,21,.295,5736,40.6,21.7,37.7,48.9,29.3,1560,835,1447,1880,1127,503,327,447,685,265,.322,.392,.309,.364,.235
113,86,삼성,19,.294,5533,40.1,23.2,36.7,46.8,30.0,1558,903,1429,1822,1165,457,380,408,590,275,.293,.421,.286,.324,.236
114,87,KIA,21,.292,5577,37.7,22.8,39.5,43.4,33.7,1472,893,1545,1698,1319,388,391,419,494,313,.264,.438,.271,.291,.237
115,88,LG,21,.287,5533,38.5,22.9,38.6,45.3,31.8,1471,876,1477,1733,1215,415,377,396,514,297,.282,.430,.268,.297,.244
116,89,SK,20,.285,5502,43.9,22.9,33.2,47.7,29.3,1693,883,1280,1841,1132,520,371,319,588,251,.307,.420,.249,.319,.222
