,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
87,64,롯데,19,-2.48,5488,-2.48,62,31,66.7,1907,4.9,13,53,9,0,8,26,5,0,61.9,67.1,64.3,,1,8,60,8,4
88,65,KIA,20,-2.62,5637,-2.62,47,25,65.3,2099,3.4,7,45,2,0,6,24,1,0,53.9,65.2,66.7,,0,6,70,13,14
89,66,LG,18,-2.89,5665,-2.89,71,38,65.1,2136,5.1,21,58,13,0,15,37,1,0,58.3,61.1,92.9,,0,7,107,16,7
90,67,롯데,21,-3.19,5726,-3.19,60,31,65.9,2269,4.0,18,52,8,0,8,28,3,0,69.2,65.0,72.7,,0,8,53,14,4
91,68,kt,17,-3.64,5484,-3.64,86,51,62.8,1966,7.0,11,81,5,0,11,49,2,0,50.0,62.3,71.4,,0,8,69,10,12
92,69,NC,19,-3.68,5631,-3.68,86,45,65.7,2106,6.2,17,79,6,1,10,44,1,0,63.0,64.2,85.7,100.0,1,7,86,8,12
93,70,한화,21,-4.01,5495,-4.01,110,56,66.3,1999,8.3,28,87,23,0,9,41,10,5,75.7,68.0,69.7,0.0,0,14,112,8,21
94,순,이름,팀,정렬,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,도루% 상황,무.도,견제아웃,폭투진루,포일진루,견제실책
95,순,이름,팀,RAA도루,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,좌,2,3,4,좌,2,3,4,좌,2,3,4,무.도,견제아웃,폭투진루,포일진루,견제실책
96,71,한화,22,-4.19,5513,-4.19,93,49,65.5,1940,7.3,22,78,13,2,10,41,4,4,68.8,65.6,76.5,33.3,0,6,88,13,18
