,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
52,35,KT,21,142.3,5619,142.3,131.2,118.9,127.8,129.9,140.1,,,44.7,20.8,8.7,10.4,6.3,9.1,0.0,0.0,63.6,26.9,42.8,86.2,65.9,79.0,43.2
53,36,삼성,20,142.3,5574,142.3,131.9,119.8,128.2,130.6,140.4,,,40.5,21.8,10.4,10.7,5.2,11.4,0.0,0.0,64.8,28.8,45.2,87.9,64.4,79.8,45.6
54,37,SK,19,142.3,5542,142.3,132.0,120.1,127.2,129.9,141.8,,,39.3,21.3,10.1,10.2,6.3,12.8,0.0,0.0,70.5,29.3,47.6,87.2,64.9,79.6,44.4
55,38,LG,19,142.3,5532,142.3,131.9,120.2,127.9,130.9,141.2,,,40.1,21.8,10.5,10.0,6.3,11.3,0.0,0.0,65.6,32.3,46.1,88.6,67.9,80.0,41.3
56,39,롯데,19,142.3,5488,142.3,132.0,120.4,127.1,130.5,140.6,,,39.8,21.1,10.2,8.9,6.5,13.4,0.0,0.0,68.9,28.4,46.8,84.8,62.8,77.5,45.5
57,40,삼성,18,142.3,5766,142.3,132.0,117.8,127.4,130.2,138.6,116.9,,45.6,19.8,10.0,10.3,6.7,7.4,0.3,0.0,62.1,31.6,45.1,87.5,68.9,80.2,44.3
58,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
59,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
60,41,NC,20,142.3,5833,142.3,131.9,119.5,127.7,130.2,140.6,105.0,,43.7,22.2,9.4,9.5,5.0,10.1,0.0,0.0,68.0,29.3,45.9,87.9,67.6,80.5,43.0
61,42,KIA,20,142.2,5637,142.2,131.9,119.1,128.6,129.5,140.4,107.1,,42.3,20.3,9.8,10.3,6.2,10.9,0.1,0.0,66.6,28.1,44.6,86.4,68.5,80.0,42.9
62,43,한화,19,142.2,5482,142.2,131.9,120.0,126.7,130.8,140.6,,,41.3,21.2,11.0,9.3,6.7,10.5,0.0,0.0,65.8,30.5,45.7,86.5,62.7,77.5,43.2
63,44,키움,19,142.2,5658,142.2,131.8,119.4,127.8,130.4,140.5,,,40.5,22.2,10.0,8.7,6.5,12.1,0.0,0.0,65.2,28.9,44.5,88.2,65.4,79.8,43.0
64,45,LG,16,142.1,5765,142.1,130.3,117.2,128.6,130.6,138.4,108.9,67.6,49.4,23.8,8.5,7.3,5.9,4.8,0.0,0.3,67.4,26.7,46.0,88.0,61.5,80.0,47.5
65,46,SK,20,142.1,5502,142.1,131.5,119.3,127.5,130.2,140.8,107.4,,42.7,19.7,9.4,11.8,6.4,10.0,0.1,0.0,68.7,31.0,47.4,88.2,63.5,79.1,43.6
66,47,한화,20,142.1,5483,142.1,131.7,119.4,127.4,129.8,140.1,105.9,127.0,42.7,21.0,9.1,11.2,4.7,11.2,0.0,0.0,68.6,30.7,47.8,85.5,59.8,76.4,45.0
67,48,SK,18,142.1,5682,142.1,130.9,117.2,127.8,130.1,139.5,118.1,,43.4,21.9,10.4,9.9,8.0,6.1,0.3,0.0,69.1,28.3,47.0,85.4,61.1,77.4,45.7
68,49,KT,20,142.0,5762,142.0,132.0,119.6,127.5,129.9,140.0,105.8,,45.4,21.0,9.2,8.8,5.1,10.4,0.1,0.0,65.9,29.1,45.3,86.5,67.3,79.6,44.1
69,50,두산,17,142.0,5833,142.0,130.9,117.2,126.1,130.0,139.1,121.0,106.4,47.2,20.9,9.1,8.6,8.1,5.6,0.1,0.3,69.8,25.7,44.8,88.5,63.8,80.5,43.4
70,순,이름,팀,평속,타석,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,평균 구속,구사율,구사율,구사율,구사율,구사율,구사율,구사율,구사율,Swing%,Swing%,Swing%,Contact%,Contact%,Contact%,Zone%
71,순,이름,팀,직구,타석,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,IZ,OZ,All,IZ,OZ,All,Zone%
